STT,self_study_time,amount_of_subject,working_time,sleeping_time,extracurricular_time,social_media_time,learning_method,attendance_proportion,gpa
77,11 – 15 giờ,7 – 8 môn,Không,Trên 8 giờ,Không,Trên 6 giờ,Kết hợp cả hai,Trên 95%,3.0 – 3.5
78,Trên 20 giờ,7 – 8 môn,Không,7 – 8 giờ,Không,Trên 6 giờ,Tự học cá nhân,Trên 95%,Trên 3.5
79,5 – 10 giờ,5 – 6 môn,Không,Dưới 5 giờ,Không,3 – 4 giờ,Tự học cá nhân,Trên 95%,3.0 – 3.5
80,5 – 10 giờ,5 – 6 môn,"Có, 10 – 20 giờ/tuần",Trên 8 giờ,Có,3 – 4 giờ,Tự học cá nhân,50% – 70%,Trên 3.5
81,Dưới 5 giờ,5 – 6 môn,"Có, dưới 10 giờ/tuần",5 – 6 giờ,Không,3 – 4 giờ,Tự học cá nhân,50% – 70%,3.0 – 3.5
82,11 – 15 giờ,7 – 8 môn,"Có, trên 20 giờ/tuần",5 – 6 giờ,Có,3 – 4 giờ,Tự học cá nhân,Trên 95%,Trên 3.5
83,Dưới 5 giờ,5 – 6 môn,Không,Trên 8 giờ,Không,3 – 4 giờ,Kết hợp cả hai,50% – 70%,2.5 – 3.0
84,11 – 15 giờ,5 – 6 môn,Không,6 – 7 giờ,Không,3 – 4 giờ,Tự học cá nhân,70% – 85%,3.0 – 3.5
85,5 – 10 giờ,Trên 8 môn,Không,6 – 7 giờ,Không,5 – 6 giờ,Kết hợp cả hai,Trên 95%,Trên 3.5
86,Dưới 5 giờ,5 – 6 môn,Không,6 – 7 giờ,Không,3 – 4 giờ,Tự học cá nhân,85% – 95%,3.0 – 3.5
87,16 – 20 giờ,Trên 8 môn,"Có, dưới 10 giờ/tuần",7 – 8 giờ,Không,3 – 4 giờ,Tự học cá nhân,Trên 95%,3.0 – 3.5
88,5 – 10 giờ,Trên 8 môn,"Có, 10 – 20 giờ/tuần",7 – 8 giờ,Không,5 – 6 giờ,Tự học cá nhân,Trên 95%,3.0 – 3.5
89,Dưới 5 giờ,3 – 4 môn,"Có, dưới 10 giờ/tuần",Dưới 5 giờ,Không,1 – 2 giờ,Học nhóm,Dưới 50%,2.0 – 2.5
90,5 – 10 giờ,Trên 8 môn,Không,5 – 6 giờ,Không,1 – 2 giờ,Kết hợp cả hai,Trên 95%,Trên 3.5
91,16 – 20 giờ,5 – 6 môn,"Có, dưới 10 giờ/tuần",6 – 7 giờ,Có,Dưới 1 giờ,Tự học cá nhân,85% – 95%,3.0 – 3.5
92,11 – 15 giờ,7 – 8 môn,Không,5 – 6 giờ,Không,3 – 4 giờ,Kết hợp cả hai,50% – 70%,2.5 – 3.0
93,Dưới 5 giờ,Trên 8 môn,Không,6 – 7 giờ,Không,Trên 6 giờ,Tự học cá nhân,50% – 70%,2.5 – 3.0
94,11 – 15 giờ,7 – 8 môn,Không,5 – 6 giờ,Có,1 – 2 giờ,Kết hợp cả hai,Trên 95%,3.0 – 3.5
95,Trên 20 giờ,Trên 8 môn,Không,6 – 7 giờ,Không,5 – 6 giờ,Tự học cá nhân,50% – 70%,2.5 – 3.0
96,11 – 15 giờ,3 – 4 môn,Không,7 – 8 giờ,Không,3 – 4 giờ,Tự học cá nhân,85% – 95%,3.0 – 3.5
97,5 – 10 giờ,7 – 8 môn,Không,7 – 8 giờ,Không,Trên 6 giờ,Tự học cá nhân,Trên 95%,Trên 3.5
98,5 – 10 giờ,7 – 8 môn,Không,5 – 6 giờ,Có,5 – 6 giờ,Kết hợp cả hai,85% – 95%,Trên 3.5
99,5 – 10 giờ,5 – 6 môn,"Có, dưới 10 giờ/tuần",6 – 7 giờ,Không,3 – 4 giờ,Tự học cá nhân,50% – 70%,2.0 – 2.5
100,16 – 20 giờ,5 – 6 môn,Không,Dưới 5 giờ,Có,3 – 4 giờ,Kết hợp cả hai,85% – 95%,2.5 – 3.0
101,11 – 15 giờ,5 – 6 môn,Không,Trên 8 giờ,Có,3 – 4 giờ,Tự học cá nhân,70% – 85%,Trên 3.5
